date,quantity,price_total
2011-10-04,19940,48304.3
2011-10-05,45243,73832.63
2011-10-06,34704,62469.89
2011-10-07,28822,51117.29
2011-10-08,0,0.0
2011-10-09,7556,12524.4
2011-10-10,24818,45037.9
2011-10-11,25575,50825.49
2011-10-12,16226,28991.79
2011-10-13,17105,33928.83
2011-10-14,17157,35078.48
2011-10-15,0,0.0
2011-10-16,8770,22010.96
2011-10-17,28707,46613.08
2011-10-18,28849,43819.99
2011-10-19,18137,40245.33
2011-10-20,35966,57501.55
2011-10-21,23796,61118.909999999996
2011-10-22,0,0.0
2011-10-23,7073,12339.16
2011-10-24,25556,48106.89
2011-10-25,24972,41314.64
2011-10-26,20911,38059.43
2011-10-27,32590,56589.93
2011-10-28,23869,40565.7
2011-10-29,0,0.0
2011-10-30,19883,34069.57
2011-10-31,4555,56557.34
2011-11-01,15893,27108.1
2011-11-02,28768,45888.34
2011-11-03,34173,63561.49
2011-11-04,34296,61656.08
2011-11-05,0,0.0
2011-11-06,22671,41643.2
2011-11-07,27626,84724.48
2011-11-08,26523,57700.24
2011-11-09,37634,65301.53
2011-11-10,37756,70005.23
2011-11-11,27574,52750.4
2011-11-12,0,0.0
2011-11-13,18197,29615.48
2011-11-14,45796,113663.34
2011-11-15,29082,58560.98
2011-11-16,27413,61051.88
2011-11-17,29187,57260.7
2011-11-18,23256,50028.94
2011-11-19,0,0.0
2011-11-20,18976,34141.03
2011-11-21,24300,48905.12
2011-11-22,34411,62034.62
2011-11-23,37469,79616.85
2011-11-24,25113,50771.49
2011-11-25,31105,50528.94
2011-11-26,0,0.0
2011-11-27,10948,19781.170000000002
2011-11-28,28521,55286.36
2011-11-29,30600,72368.73
2011-11-30,25322,57057.71
2011-12-01,26266,50268.33
2011-12-02,27146,57321.31
2011-12-03,0,0.0
2011-12-04,11878,23847.89
2011-12-05,43792,87787.26
2011-12-06,30133,56713.21
2011-12-07,37722,71582.27
2011-12-08,34293,81410.86
2011-12-09,93979,200920.6
